feature	CTRL_SNG-101_CD14 Mono	CTRL_SNG-101_CD4 Naive T	CTRL_SNG-101_CD4 Memory T	CTRL_SNG-101_CD16 Mono	CTRL_SNG-101_B	CTRL_SNG-101_CD8 T	CTRL_SNG-101_T activated	CTRL_SNG-101_NK	CTRL_SNG-101_DC	CTRL_SNG-101_B Activated	CTRL_SNG-101_Mk	CTRL_SNG-101_pDC	CTRL_SNG-101_Eryth	CTRL_SNG-1015_CD14 Mono	CTRL_SNG-1015_CD4 Naive T	CTRL_SNG-1015_CD4 Memory T	CTRL_SNG-1015_CD16 Mono	CTRL_SNG-1015_B	CTRL_SNG-1015_CD8 T	CTRL_SNG-1015_T activated	CTRL_SNG-1015_NK	CTRL_SNG-1015_DC	CTRL_SNG-1015_B Activated	CTRL_SNG-1015_Mk	CTRL_SNG-1015_pDC	CTRL_SNG-1015_Eryth	CTRL_SNG-1016_CD14 Mono	CTRL_SNG-1016_CD4 Naive T	CTRL_SNG-1016_CD4 Memory T	CTRL_SNG-1016_CD16 Mono	CTRL_SNG-1016_B	CTRL_SNG-1016_CD8 T	CTRL_SNG-1016_T activated	CTRL_SNG-1016_NK	CTRL_SNG-1016_DC	CTRL_SNG-1016_B Activated	CTRL_SNG-1016_Mk	CTRL_SNG-1016_pDC	CTRL_SNG-1016_Eryth	CTRL_SNG-1039_CD14 Mono	CTRL_SNG-1039_CD4 Naive T	CTRL_SNG-1039_CD4 Memory T	CTRL_SNG-1039_CD16 Mono	CTRL_SNG-1039_B	CTRL_SNG-1039_CD8 T	CTRL_SNG-1039_T activated	CTRL_SNG-1039_NK	CTRL_SNG-1039_DC	CTRL_SNG-1039_B Activated	CTRL_SNG-1039_Mk	CTRL_SNG-1039_pDC	CTRL_SNG-107_CD14 Mono	CTRL_SNG-107_CD4 Naive T	CTRL_SNG-107_CD4 Memory T	CTRL_SNG-107_CD16 Mono	CTRL_SNG-107_B	CTRL_SNG-107_CD8 T	CTRL_SNG-107_T activated	CTRL_SNG-107_NK	CTRL_SNG-107_DC	CTRL_SNG-107_B Activated	CTRL_SNG-107_Mk	CTRL_SNG-107_pDC	CTRL_SNG-107_Eryth	CTRL_SNG-1244_CD14 Mono	CTRL_SNG-1244_CD4 Naive T	CTRL_SNG-1244_CD4 Memory T	CTRL_SNG-1244_CD16 Mono	CTRL_SNG-1244_B	CTRL_SNG-1244_CD8 T	CTRL_SNG-1244_T activated	CTRL_SNG-1244_NK	CTRL_SNG-1244_DC	CTRL_SNG-1244_B Activated	CTRL_SNG-1244_Mk	CTRL_SNG-1244_pDC	CTRL_SNG-1244_Eryth	CTRL_SNG-1256_CD14 Mono	CTRL_SNG-1256_CD4 Naive T	CTRL_SNG-1256_CD4 Memory T	CTRL_SNG-1256_CD16 Mono	CTRL_SNG-1256_B	CTRL_SNG-1256_CD8 T	CTRL_SNG-1256_T activated	CTRL_SNG-1256_NK	CTRL_SNG-1256_DC	CTRL_SNG-1256_B Activated	CTRL_SNG-1256_Mk	CTRL_SNG-1256_pDC	CTRL_SNG-1256_Eryth	CTRL_SNG-1488_CD14 Mono	CTRL_SNG-1488_CD4 Naive T	CTRL_SNG-1488_CD4 Memory T	CTRL_SNG-1488_CD16 Mono	CTRL_SNG-1488_B	CTRL_SNG-1488_CD8 T	CTRL_SNG-1488_T activated	CTRL_SNG-1488_NK	CTRL_SNG-1488_DC	CTRL_SNG-1488_B Activated	CTRL_SNG-1488_Mk	CTRL_SNG-1488_pDC	CTRL_SNG-1488_Eryth	STIM_SNG-101_CD14 Mono	STIM_SNG-101_CD4 Naive T	STIM_SNG-101_CD4 Memory T	STIM_SNG-101_CD16 Mono	STIM_SNG-101_B	STIM_SNG-101_CD8 T	STIM_SNG-101_T activated	STIM_SNG-101_NK	STIM_SNG-101_DC	STIM_SNG-101_B Activated	STIM_SNG-101_Mk	STIM_SNG-101_pDC	STIM_SNG-101_Eryth	STIM_SNG-1015_CD14 Mono	STIM_SNG-1015_CD4 Naive T	STIM_SNG-1015_CD4 Memory T	STIM_SNG-1015_CD16 Mono	STIM_SNG-1015_B	STIM_SNG-1015_CD8 T	STIM_SNG-1015_T activated	STIM_SNG-1015_NK	STIM_SNG-1015_DC	STIM_SNG-1015_B Activated	STIM_SNG-1015_Mk	STIM_SNG-1015_pDC	STIM_SNG-1015_Eryth	STIM_SNG-1016_CD14 Mono	STIM_SNG-1016_CD4 Naive T	STIM_SNG-1016_CD4 Memory T	STIM_SNG-1016_CD16 Mono	STIM_SNG-1016_B	STIM_SNG-1016_CD8 T	STIM_SNG-1016_T activated	STIM_SNG-1016_NK	STIM_SNG-1016_DC	STIM_SNG-1016_B Activated	STIM_SNG-1016_Mk	STIM_SNG-1016_pDC	STIM_SNG-1016_Eryth	STIM_SNG-1039_CD14 Mono	STIM_SNG-1039_CD4 Naive T	STIM_SNG-1039_CD4 Memory T	STIM_SNG-1039_CD16 Mono	STIM_SNG-1039_B	STIM_SNG-1039_CD8 T	STIM_SNG-1039_T activated	STIM_SNG-1039_NK	STIM_SNG-1039_DC	STIM_SNG-1039_B Activated	STIM_SNG-1039_Mk	STIM_SNG-1039_pDC	STIM_SNG-1039_Eryth	STIM_SNG-107_CD14 Mono	STIM_SNG-107_CD4 Naive T	STIM_SNG-107_CD4 Memory T	STIM_SNG-107_CD16 Mono	STIM_SNG-107_B	STIM_SNG-107_CD8 T	STIM_SNG-107_T activated	STIM_SNG-107_NK	STIM_SNG-107_DC	STIM_SNG-107_B Activated	STIM_SNG-107_Mk	STIM_SNG-107_pDC	STIM_SNG-1244_CD14 Mono	STIM_SNG-1244_CD4 Naive T	STIM_SNG-1244_CD4 Memory T	STIM_SNG-1244_CD16 Mono	STIM_SNG-1244_B	STIM_SNG-1244_CD8 T	STIM_SNG-1244_T activated	STIM_SNG-1244_NK	STIM_SNG-1244_DC	STIM_SNG-1244_B Activated	STIM_SNG-1244_Mk	STIM_SNG-1244_pDC	STIM_SNG-1244_Eryth	STIM_SNG-1256_CD14 Mono	STIM_SNG-1256_CD4 Naive T	STIM_SNG-1256_CD4 Memory T	STIM_SNG-1256_CD16 Mono	STIM_SNG-1256_B	STIM_SNG-1256_CD8 T	STIM_SNG-1256_T activated	STIM_SNG-1256_NK	STIM_SNG-1256_DC	STIM_SNG-1256_B Activated	STIM_SNG-1256_Mk	STIM_SNG-1256_pDC	STIM_SNG-1256_Eryth	STIM_SNG-1488_CD14 Mono	STIM_SNG-1488_CD4 Naive T	STIM_SNG-1488_CD4 Memory T	STIM_SNG-1488_CD16 Mono	STIM_SNG-1488_B	STIM_SNG-1488_CD8 T	STIM_SNG-1488_T activated	STIM_SNG-1488_NK	STIM_SNG-1488_DC	STIM_SNG-1488_B Activated	STIM_SNG-1488_Mk	STIM_SNG-1488_pDC	STIM_SNG-1488_Eryth
CSAD	1	0	0	0	0	1	0	0	1	0	0	0	0	5	7	1	5	4	2	1	0	1	0	0	0	0	6	3	1	3	1	3	1	0	1	0	0	2	0	2	1	2	1	0	1	1	0	0	0	0	0	3	1	1	0	0	0	0	0	0	0	0	0	0	3	6	1	0	1	0	0	0	2	0	0	0	0	7	4	4	2	0	0	2	1	0	0	0	0	0	5	7	8	0	6	2	2	0	1	0	0	0	0	1	1	1	1	0	0	2	0	0	0	0	0	0	4	1	4	3	2	3	0	1	1	2	1	0	0	2	2	0	2	0	1	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	1	0	1	1	1	0	0	0	0	0	0	0	3	11	3	1	0	0	0	1	0	0	2	0	0	3	13	3	0	1	4	2	0	0	0	0	0	0	1	25	4	6	1	0	2	0	0	0	0	0	0
ZNF740	1	0	1	0	0	0	0	0	1	0	0	0	0	4	0	1	0	0	1	2	1	0	2	0	0	0	5	0	0	1	0	2	0	0	0	0	0	0	1	0	1	0	0	0	1	0	0	0	0	0	0	1	0	2	0	0	0	0	0	1	0	0	0	0	3	4	2	0	2	0	0	1	1	0	0	0	0	3	2	1	1	0	2	1	0	0	0	1	1	0	1	1	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	2	1	1	1	0	0	0	0	0	1	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	2	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	1	1	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	1
ITGB7	7	0	5	1	3	3	1	2	6	0	1	0	0	10	11	10	1	6	3	0	7	13	1	1	1	0	6	10	9	1	2	16	1	0	3	0	1	0	0	6	3	5	2	0	0	1	1	3	0	0	0	4	2	3	0	0	0	0	2	5	0	1	0	0	6	43	9	0	1	6	1	4	16	2	4	3	1	4	45	10	0	2	7	1	11	6	0	1	0	1	5	19	14	0	6	3	0	1	18	1	3	0	0	7	2	7	2	1	4	0	1	18	0	0	0	0	11	10	16	1	3	10	1	6	9	2	0	0	1	9	4	5	0	1	8	2	2	11	0	0	0	0	32	2	7	2	5	0	0	0	7	0	1	0	0	3	1	2	0	0	0	0	1	7	0	0	0	4	62	12	1	1	3	1	4	9	0	4	2	0	12	47	8	0	5	2	2	3	11	0	3	1	1	12	50	15	1	8	2	4	1	29	1	3	2	1
RARG	2	0	0	0	0	0	0	1	0	0	0	0	0	3	1	3	0	0	0	0	1	0	0	1	0	0	2	0	1	1	0	0	0	1	0	0	0	0	0	0	1	1	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	2	3	3	0	0	0	0	2	2	0	0	0	0	2	3	0	0	0	1	1	0	0	0	0	0	0	1	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	2	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	2	0	1	1	0	2	0	0	0	0	0	1	4	2	0	0	0	0	0	0	0	0	0	0	1	0	3	0	0	0	0	0	1	1	0	0	0
MFSD5	12	0	1	1	1	1	0	0	1	0	0	0	0	17	3	1	5	3	0	2	1	2	1	2	0	0	2	0	1	1	2	4	2	0	2	0	0	1	0	1	0	1	1	0	0	0	1	0	0	0	0	3	1	0	1	1	0	1	0	0	0	1	0	0	15	4	3	3	1	0	0	0	2	0	1	0	0	6	5	0	1	2	0	7	1	2	0	0	0	0	8	2	3	3	2	2	1	0	1	1	1	1	0	6	0	1	1	1	1	0	0	0	0	0	1	0	12	0	1	3	2	1	1	2	1	1	0	1	0	5	0	0	4	0	5	0	0	2	0	0	0	0	2	2	0	0	1	0	0	1	1	0	0	0	0	1	0	0	1	0	0	0	0	2	0	0	0	5	4	1	0	0	2	0	0	4	1	1	0	0	3	5	1	1	1	0	0	1	4	1	2	1	0	8	2	1	3	5	1	0	1	2	0	1	1	0
PFDN5	669	19	161	272	61	62	43	21	160	32	21	10	5	2379	190	480	650	283	160	52	124	195	115	115	54	4	1047	107	107	339	114	147	37	13	138	26	14	12	10	373	72	109	76	37	18	14	20	56	4	12	6	616	52	117	87	56	4	8	14	75	13	20	7	4	1536	613	312	217	83	111	39	65	360	76	63	23	12	1119	730	243	181	143	96	78	102	195	96	46	22	18	646	432	388	270	186	70	71	37	276	57	42	15	8	518	72	194	278	124	67	26	28	143	31	24	13	4	1181	202	345	425	343	218	70	117	146	82	24	20	26	645	135	111	227	100	216	33	21	77	17	6	16	8	265	112	177	77	47	31	20	9	28	15	17	32	8	293	32	116	67	49	22	14	17	73	28	4	0	527	832	270	42	92	80	46	69	111	30	32	22	4	645	788	219	174	162	100	37	55	115	50	31	50	14	447	1071	389	220	273	68	114	55	137	102	73	38	11
RP11-680A11.5	2	0	0	0	0	0	0	0	0	0	0	0	0	7	0	0	0	0	0	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	0	6	0	1	0	0	0	0	0	2	0	0	0	0	13	0	1	1	0	0	0	0	2	0	0	1	0	5	0	0	1	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	1	0	0	0
C12orf10	11	0	8	8	6	4	3	0	1	2	0	2	0	26	8	15	7	10	10	4	5	4	6	2	1	0	6	3	5	5	4	10	0	4	0	2	1	0	0	12	2	6	0	3	2	0	1	1	0	0	0	5	3	3	0	3	3	0	0	0	0	0	1	0	21	32	14	4	2	2	5	5	9	4	0	2	0	14	40	12	3	7	7	7	4	2	0	3	2	1	6	25	15	5	6	4	4	6	8	2	1	0	0	1	4	6	3	10	3	1	3	4	2	0	0	0	8	5	11	2	2	7	1	8	1	3	0	0	4	2	3	3	1	6	9	3	3	2	0	1	0	0	2	5	5	2	2	1	4	0	0	1	1	0	0	0	4	6	0	1	1	1	0	0	1	0	0	2	30	6	0	4	1	2	4	0	1	1	0	1	4	40	7	0	5	0	1	4	1	8	1	2	0	4	36	8	2	9	2	5	0	5	5	2	2	0
AAAS	3	0	1	1	2	0	1	0	1	1	0	0	0	6	0	3	1	1	2	2	0	0	1	0	2	0	5	2	3	4	0	1	1	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	1	1	1	0	1	0	0	0	0	0	0	0	0	8	6	1	1	2	2	0	0	0	0	1	0	0	3	9	2	1	0	3	3	0	2	0	0	2	0	3	1	3	2	0	2	1	0	2	0	2	2	0	1	0	4	1	0	0	1	0	1	0	0	1	0	4	1	3	1	1	1	0	3	0	3	1	0	0	2	1	0	1	0	2	0	0	0	1	0	1	0	0	1	1	1	0	0	0	0	0	0	0	0	0	2	0	1	0	0	0	0	0	0	2	0	0	0	5	0	0	1	0	1	0	1	1	0	1	0	1	8	1	0	0	0	2	2	0	3	0	0	0	2	3	0	1	1	1	2	1	1	1	0	1	0
SP1	4	0	1	1	1	0	0	0	0	0	0	0	0	14	1	1	2	0	1	1	5	1	0	0	0	0	6	0	0	2	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	0	0	0	0	0	7	1	0	0	0	0	0	0	0	0	0	0	0	9	1	1	0	2	0	1	1	3	0	1	0	0	11	1	0	0	0	0	0	1	1	1	0	0	0	3	1	2	1	0	0	1	0	2	0	0	0	1	7	0	1	3	0	0	0	0	0	0	0	0	0	13	0	1	2	3	0	0	1	0	1	0	0	0	7	1	1	1	0	1	2	0	0	0	0	0	0	3	0	1	0	0	0	0	0	1	0	0	0	0	5	0	1	0	1	0	0	0	0	0	0	0	7	2	0	0	0	0	0	0	0	0	0	0	0	4	0	0	1	2	0	0	0	1	0	0	2	0	5	5	0	2	3	0	2	0	3	0	0	0	0
PRR13	294	10	31	121	16	19	14	5	54	6	8	1	2	787	39	119	225	61	53	36	57	69	52	31	19	0	294	22	25	115	32	68	20	5	30	8	5	2	1	121	15	33	26	5	8	7	5	12	1	2	1	208	8	21	19	4	1	6	7	27	5	8	11	0	416	87	82	65	15	16	15	18	109	17	11	8	3	446	154	70	75	46	23	42	30	74	15	7	17	1	182	71	79	94	38	14	20	13	60	22	8	11	3	397	14	43	163	28	27	10	11	59	9	7	16	0	637	38	88	229	76	69	29	61	68	20	8	7	4	297	22	25	98	15	61	16	17	24	6	6	11	2	156	20	39	49	12	8	12	3	14	1	6	17	2	172	7	14	28	11	6	6	5	24	4	1	2	214	136	43	23	16	15	13	26	34	8	12	6	1	387	144	63	123	41	26	19	27	50	17	9	13	3	257	134	67	102	71	21	17	22	45	46	11	19	1
PCBP2	98	4	24	38	18	14	12	6	27	9	3	4	1	277	34	89	60	54	33	14	31	32	24	19	6	3	136	28	17	45	17	35	10	4	18	3	1	2	2	42	18	12	5	4	5	2	3	9	0	3	1	84	8	22	8	10	1	2	5	13	2	2	4	0	225	107	61	20	20	16	8	13	58	12	11	8	0	165	130	47	26	32	13	17	13	38	14	4	10	4	110	76	84	40	29	15	14	14	38	9	12	10	3	88	16	28	34	29	17	17	4	34	5	3	9	0	155	35	71	55	65	45	20	25	26	17	8	2	4	76	23	18	34	19	43	14	8	12	4	4	6	3	62	21	27	9	9	7	2	3	6	3	2	6	1	33	4	24	10	10	3	8	1	11	10	2	2	72	134	46	5	23	15	6	10	22	8	3	6	1	91	131	37	24	43	23	13	17	24	16	7	11	2	80	184	61	41	48	11	21	9	20	22	22	11	2
MAP3K12	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
RP11-793H13.11	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	1	0	1	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	1	0	0	0	0	0	0	0	0	0	0	0
TARBP2	1	0	1	0	0	1	0	0	3	0	0	1	0	5	4	5	1	3	1	0	3	0	1	0	2	0	4	0	0	1	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	1	0	0	0	0	0	1	6	1	1	0	3	0	0	3	1	0	0	1	1	13	1	0	2	0	0	2	0	2	2	0	0	2	6	0	0	1	1	1	0	0	6	2	1	1	0	2	1	0	1	0	0	0	1	1	0	0	0	3	2	0	0	6	0	1	0	0	2	0	0	0	0	2	1	0	1	0	4	0	0	1	0	0	0	2	2	2	0	1	0	1	0	0	0	1	0	0	0	1	0	0	1	0	1	0	0	0	0	0	0	15	1	0	0	0	1	1	0	0	0	0	0	2	16	0	0	1	0	0	1	0	1	1	3	0	0	13	6	1	0	0	0	0	0	2	0	3	0
ATF7	7	0	2	1	0	0	2	2	2	0	1	0	0	29	1	1	6	1	1	2	1	4	0	0	1	0	11	1	0	2	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	6	1	0	0	0	0	0	1	1	0	0	0	0	15	1	1	0	0	0	0	0	5	0	0	0	0	14	1	3	3	0	2	0	0	1	0	0	2	0	8	0	2	1	1	0	0	1	1	1	0	0	0	11	1	4	2	0	0	0	1	5	0	1	0	0	29	0	1	10	4	2	0	3	11	1	0	1	0	15	1	1	3	1	3	0	0	2	0	0	0	1	1	0	0	1	1	1	2	0	1	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	0	11	4	0	0	0	0	1	0	4	1	1	0	0	10	1	1	1	0	0	0	2	3	0	0	2	0	11	4	1	2	2	0	1	0	3	2	1	0	0
ATP5G2	144	10	54	82	26	14	9	9	31	8	10	6	1	441	77	141	160	92	51	17	77	44	64	30	34	2	237	58	51	84	30	72	12	18	39	8	6	6	1	78	30	34	20	14	9	3	11	8	5	1	8	86	12	32	28	18	0	1	9	12	4	3	9	1	236	207	100	48	27	33	15	29	74	22	16	10	0	231	270	94	48	54	44	35	55	39	25	20	16	4	115	134	140	51	56	29	26	19	41	40	13	29	1	101	24	74	64	39	24	15	12	24	10	8	13	0	188	88	142	110	79	96	15	79	34	46	20	13	4	121	51	39	57	28	94	17	8	17	13	4	13	2	55	44	46	15	16	9	10	3	10	5	3	27	2	37	18	29	14	14	1	6	11	12	12	2	1	61	358	91	8	34	16	14	33	21	13	12	9	6	126	328	93	54	67	55	22	42	24	36	18	29	4	73	372	124	28	75	21	56	25	26	49	29	20	2
CALCOCO1	4	1	1	2	3	0	2	1	1	0	0	0	0	13	0	3	5	3	0	0	5	0	0	0	0	0	12	2	1	3	4	2	0	1	1	0	0	0	0	1	2	1	2	0	0	1	0	0	0	1	0	3	0	2	2	0	0	0	0	0	0	0	0	0	4	3	1	2	0	3	0	1	3	0	0	0	1	10	15	4	1	5	1	1	5	1	0	0	0	0	3	4	6	1	0	2	0	1	1	0	0	2	0	4	1	0	3	0	0	0	0	0	0	0	1	0	5	1	3	1	4	1	1	3	1	1	1	0	0	4	0	0	2	0	4	0	2	1	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	2	0	0	1	0	0	0	1	0	0	0	0	1	2	0	0	0	0	0	1	0	0	0	0	0	5	9	2	1	0	2	0	1	2	1	0	0	0	2	11	3	1	4	1	0	0	2	0	0	0	0
RP11-834C11.4	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	2	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
SMUG1	11	0	1	6	2	1	0	0	5	0	1	0	0	31	1	6	6	2	3	0	3	4	4	1	6	0	9	3	2	11	2	0	0	3	2	0	0	0	0	7	3	1	1	0	0	0	1	2	0	0	0	6	1	1	4	0	0	0	1	0	0	0	0	0	16	8	5	6	1	1	1	3	4	1	1	0	0	17	11	4	1	2	0	2	2	4	1	2	2	0	4	3	4	7	1	1	1	1	2	1	0	2	0	15	0	1	5	5	0	0	0	1	0	0	1	0	12	2	3	6	5	3	1	3	2	1	0	0	0	5	2	4	3	1	8	0	0	0	0	0	2	0	3	0	3	1	1	1	0	1	0	0	1	1	0	2	0	0	1	1	0	1	1	0	1	0	0	3	10	4	0	0	2	1	2	1	0	2	0	0	10	11	3	5	3	1	0	0	2	0	1	1	0	3	9	4	2	3	5	3	0	1	1	0	2	0
CBX5	0	0	4	1	1	0	2	0	3	1	0	0	0	8	6	6	0	2	4	2	3	6	4	1	1	0	1	0	1	0	0	0	0	2	1	0	0	0	0	0	0	1	0	0	0	0	0	1	2	0	0	1	0	1	1	0	0	0	0	0	0	0	0	0	2	6	2	0	1	0	1	0	4	2	0	0	0	4	9	2	1	0	1	1	2	0	0	0	0	0	3	2	0	4	2	1	0	0	10	3	1	0	0	2	0	2	3	2	1	1	0	1	0	0	1	0	4	1	3	2	4	4	0	6	2	0	1	0	0	1	0	0	3	1	3	3	0	0	1	0	1	0	0	0	5	0	3	1	0	0	0	0	0	1	0	1	0	0	0	0	0	0	0	0	0	0	0	0	5	1	0	1	0	1	0	1	1	1	1	0	4	12	0	0	6	2	2	2	1	1	1	4	0	1	7	5	0	4	0	1	0	7	1	1	6	0
HNRNPA1	180	15	119	82	54	52	36	16	67	33	7	14	1	441	80	227	130	129	82	65	73	76	156	23	36	2	315	97	77	102	69	90	37	20	45	35	8	8	4	81	59	72	15	31	26	13	22	23	6	12	16	100	28	78	23	26	1	10	15	28	18	7	14	0	345	364	235	44	40	64	26	57	120	85	29	26	4	359	438	148	53	102	58	77	70	82	94	26	31	6	172	235	238	66	106	46	51	43	80	74	22	27	5	50	38	107	40	50	45	27	26	23	32	9	30	1	143	78	121	58	97	88	40	72	24	101	14	8	7	80	68	55	50	37	105	49	23	8	19	5	13	2	52	60	97	27	23	15	10	8	6	12	8	17	1	49	17	54	8	11	6	5	17	7	27	2	1	70	490	137	11	33	30	31	30	21	29	20	20	3	91	350	106	30	76	40	37	32	25	50	10	21	5	81	411	194	40	97	38	106	23	27	72	33	38	0
NFE2	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	1	1	1	2	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	2	1	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	2	0	2
COPZ1	79	1	25	22	3	7	7	3	20	4	2	1	0	185	17	58	42	36	20	18	29	21	22	0	12	0	99	10	10	25	14	19	12	7	18	5	1	3	0	25	5	5	10	4	1	0	4	5	1	3	0	57	2	13	10	8	0	1	6	8	3	2	2	0	117	42	17	16	9	10	10	8	35	12	6	5	2	116	75	29	16	32	13	21	13	18	10	3	12	2	57	36	47	20	16	8	12	9	29	12	2	7	1	75	7	17	19	13	9	4	4	14	6	1	13	0	108	18	43	23	41	37	12	42	24	26	8	6	3	38	17	6	16	12	39	6	9	7	4	3	5	0	19	16	22	2	13	4	4	4	4	2	1	18	0	27	4	11	2	10	3	2	6	7	6	1	1	54	103	28	4	14	15	3	6	9	2	3	3	0	63	113	19	11	26	16	3	17	11	8	5	9	0	31	106	47	21	29	10	27	18	7	15	8	17	2
GPR84	67	0	0	6	0	0	0	0	5	0	1	0	0	75	0	0	3	0	0	0	0	2	0	1	0	0	17	0	0	3	0	0	0	0	0	0	2	0	0	31	0	0	4	0	0	0	0	0	0	1	0	34	0	0	1	0	0	0	0	1	0	0	0	0	69	0	1	1	0	0	0	1	10	0	0	0	0	62	1	0	1	0	0	0	0	3	0	0	0	0	18	0	0	3	0	0	0	0	1	0	0	0	0	31	0	0	1	0	0	0	0	2	0	0	0	0	46	0	0	8	0	0	0	1	1	0	1	0	0	22	0	0	1	0	0	0	0	3	0	0	0	0	41	0	0	5	0	0	0	0	0	0	1	0	0	18	0	0	0	0	0	0	0	0	0	0	0	27	0	0	0	0	0	0	0	2	0	0	0	0	29	1	0	3	0	0	0	0	0	0	0	0	0	15	1	0	0	1	0	0	0	0	0	1	0	0
