ko	pathway	product	map
V1036577	K04567	Aminoacyl-tRNA biosynthesis	lysyl-tRNA synthetase, class II	map00970
V1036578	K03696	Protein digestion and absorption	ATP-dependent Clp protease ATP-binding subunit ClpC	map04974
V1036580	K03628	Transcription machinery	transcription termination factor Rho	ko03021
V1036583	K01995	ABC transporters	branched-chain amino acid transport system ATP-binding protein	map02010
V1036588	K01803	Glycolysis / Gluconeogenesis	triosephosphate isomerase (TIM)	map00010
V1036589	K00927	Glycolysis / Gluconeogenesis	phosphoglycerate kinase	map00010
V1036590	K00134	Glycolysis / Gluconeogenesis	glyceraldehyde 3-phosphate dehydrogenase (phosphorylating)	map00010
V1036592	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036595	K02109	Oxidative phosphorylation	F-type H+-transporting ATPase subunit b	map00190
V1036597	K02111	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit alpha	map00190
V1036598	K02112	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit beta	map00190
V1036600	K00790	Peptidoglycan biosynthesis	UDP-N-acetylglucosamine 1-carboxyvinyltransferase	map00550
V1036606	K02109	Oxidative phosphorylation	F-type H+-transporting ATPase subunit b	map00190
V1036607	K03647	Nucleotide metabolism	protein involved in ribonucleotide reduction	99984
V1036608	K00033	Pentose phosphate pathway	6-phosphogluconate dehydrogenase	map00030
V1036609	K01057	Pentose phosphate pathway	6-phosphogluconolactonase	map00030
V1036610	K00036	Pentose phosphate pathway	glucose-6-phosphate 1-dehydrogenase	map00030
V1036611	K01507	Oxidative phosphorylation	inorganic pyrophosphatase	map00190
V1036612	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036613	K10773	Base excision repair	endonuclease III	map03410
V1036614	K05275	Vitamin B6 metabolism	pyridoxine 4-dehydrogenase	map00750
V1036615	K05810	Purine metabolism	purine-nucleoside/S-methyl-5'-thioadenosine phosphorylase / adenosine deaminase	map00230
V1036616	K01372	Peptidases and inhibitors	bleomycin hydrolase	ko01002
V1036617	K01626	Phenylalanine, tyrosine and tryptophan biosynthesis	3-deoxy-7-phosphoheptulonate synthase	map00400
V1036619	K02040	Two-component system	phosphate transport system substrate-binding protein	map02010
V1036620	K02037	ABC transporters	phosphate transport system permease protein	map02010
V1036621	K02038	ABC transporters	phosphate transport system permease protein	map02010
V1036622	K02036	ABC transporters	phosphate transport system ATP-binding protein	map02010
V1036623	K00033	Pentose phosphate pathway	6-phosphogluconate dehydrogenase	map00030
V1036628	K01552	Transporters	energy-coupling factor transport system ATP-binding protein	ko02000
V1036629	K02821	Phosphotransferase system (PTS)	ascorbate PTS system EIIA or EIIAB component	map02060
V1036630	K12700	Pyrimidine metabolism	non-specific riboncleoside hydrolase	map00240
V1036631	K00852	Pentose phosphate pathway	ribokinase	map00030
V1036638	K00677	Lipopolysaccharide biosynthesis	UDP-N-acetylglucosamine acyltransferase	map00540
V1036641	K09815	ABC transporters	zinc transport system substrate-binding protein	map02010
V1036642	K09815	ABC transporters	zinc transport system substrate-binding protein	map02010
V1036643	K09817	ABC transporters	zinc transport system ATP-binding protein	map02010
V1036644	K09816	ABC transporters	zinc transport system permease protein	map02010
V1036645	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036646	K00384	Selenocompound metabolism	thioredoxin reductase (NADPH)	map00450
V1036651	K02887	Ribosome	large subunit ribosomal protein L20	map03010
V1036652	K02916	Ribosome	large subunit ribosomal protein L35	map03010
V1036653	K02520	Translation factors	translation initiation factor IF-3	ko03012
V1036667	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036672	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036678	K01069	Pyruvate metabolism	hydroxyacylglutathione hydrolase	map00620
V1036679	K07462	Base excision repair	single-stranded-DNA-specific exonuclease	map03410
V1036680	K07029	Glycerolipid metabolism	diacylglycerol kinase (ATP)	map00561
V1036681	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036682	K01354	Cationic antimicrobial peptide (CAMP) resistance	oligopeptidase B	map01503
V1036683	K01420	Transcription factors	CRP/FNR family transcriptional regulator, anaerobic regulatory protein	ko03000
V1036684	K01423	Peptidases and inhibitors	beta-barrel assembly-enhancing protease	ko01002
V1036685	K00226	Pyrimidine metabolism	dihydroorotate dehydrogenase (fumarate)	map00240
V1036686	K00104	Glyoxylate and dicarboxylate metabolism	glycolate dehydrogenase FAD-linked subunit	map00630
V1036687	K09014	General function prediction only	Fe-S cluster assembly protein SufB	99996
V1036690	K04077	Molecular chaperones	chaperonin GroEL	ko03110
V1036691	K04078	Chaperones and folding catalysts	chaperonin GroES	ko03110
V1036703	K02770	Phosphotransferase system (PTS)	fructose PTS system EIIBC or EIIC component	map02060
V1036704	K01299	Peptidases and inhibitors	carboxypeptidase Taq	ko01002
V1036705	K01932	Enzymes with EC numbers	gamma-polyglutamate synthase	99980
V1036707	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036715	K01626	Phenylalanine, tyrosine and tryptophan biosynthesis	3-deoxy-7-phosphoheptulonate synthase	map00400
V1036723	K05516	Chaperones and folding catalysts	curved DNA-binding protein	ko03110
V1036724	K03687	Chaperones and folding catalysts	molecular chaperone GrpE	ko03110
V1036729	K00852	Pentose phosphate pathway	ribokinase	map00030
V1036730	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036735	K03046	RNA polymerase	DNA-directed RNA polymerase subunit beta'	map03020
V1036736	K03043	RNA polymerase	DNA-directed RNA polymerase subunit beta	map03020
V1036737	K06147	Transporters	ATP-binding cassette, subfamily B, bacterial	ko02000
V1036741	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036749	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036750	K07862	Transporters	serine/threonine transporter	ko02000
V1036755	K01890	Aminoacyl-tRNA biosynthesis	phenylalanyl-tRNA synthetase beta chain	map00970
V1036756	K01940	Arginine biosynthesis	argininosuccinate synthase	map00220
V1036757	K11263	Fatty acid biosynthesis	acetyl-CoA/propionyl-CoA/long-chain acyl-CoA carboxylase, biotin carboxylase, biotin carboxyl carrier protein	map00061
V1036758	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036772	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036773	K02470	DNA replication	DNA gyrase subunit B	map03030
V1036775	K03629	DNA repair and recombination proteins	DNA replication and repair protein RecF	ko03400
V1036776	K02338	DNA replication	DNA polymerase III subunit beta	map03030
V1036777	K03536	Transfer RNA biogenesis	ribonuclease P protein component	ko03016
V1036778	K08998	Function unknown	uncharacterized protein	99997
V1036779	K03217	Protein export	YidC/Oxa1 family membrane protein insertase	map03060
V1036780	K02495	Porphyrin metabolism	oxygen-independent coproporphyrinogen III oxidase	map00860
V1036782	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036783	K07025	General function prediction only	putative hydrolase of the HAD superfamily	99996
V1036784	K02077	Transporters	zinc/manganese transport system substrate-binding protein	ko02000
V1036785	K09819	Transporters	manganese/iron transport system permease protein	ko02000
V1036786	K09819	Transporters	manganese/iron transport system permease protein	ko02000
V1036788	K00226	Pyrimidine metabolism	dihydroorotate dehydrogenase (fumarate)	map00240
V1036793	K02008	ABC transporters	cobalt/nickel transport system permease protein	map02010
V1036794	K02548	Vitamin K2 biosynthesis	1,4-dihydroxy-2-naphthoate polyprenyltransferase	map00130
V1036795	K07183	Two-component system	two-component system, response regulator / RNA-binding antiterminator	ko02022
V1036796	K02335	DNA replication	DNA polymerase I	map03030
V1036797	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036799	K04488	Energy metabolism	nitrogen fixation protein NifU and related proteins	99982
V1036800	K11717	Selenocompound metabolism	cysteine desulfurase / selenocysteine lyase	map00450
V1036801	K09014	General function prediction only	Fe-S cluster assembly protein SufB	99996
V1036803	K03588	Cell division	cell division protein FtsW	map04110
V1036804	K09952	Prokaryotic defense system	CRISPR-associated endonuclease Csn1	ko02048
V1036805	K01758	Cysteine and methionine metabolism	cystathionine gamma-lyase	map00270
V1036808	K03723	Nucleotide excision repair	transcription-repair coupling factor (superfamily II helicase)	map03420
V1036809	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036810	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036811	K01579	beta-Alanine metabolism	aspartate 1-decarboxylase	map00410
V1036812	K01892	Aminoacyl-tRNA biosynthesis	histidyl-tRNA synthetase	map00970
V1036813	K03593	Chromosome and associated proteins	ATP-binding protein involved in chromosome partitioning	ko03036
V1036816	K01006	Pyruvate metabolism	pyruvate, orthophosphate dikinase	map00620
V1036817	K02884	Ribosome	large subunit ribosomal protein L19	map03010
V1036818	K06188	Transporters	aquaporin Z	ko02000
V1036819	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036820	K03551	Homologous recombination	holliday junction DNA helicase RuvB	map03440
V1036821	K01159	Homologous recombination	crossover junction endodeoxyribonuclease RuvC	map03440
V1036824	K04047	Chromosome and associated proteins	starvation-inducible DNA-binding protein	ko03036
V1036826	K01595	Pyruvate metabolism	phosphoenolpyruvate carboxylase	map00620
V1036827	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036828	K01867	Aminoacyl-tRNA biosynthesis	tryptophanyl-tRNA synthetase	map00970
V1036829	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036831	K03110	Protein export	fused signal recognition particle receptor	map03060
V1036832	K03327	Transporters	MATE family, multidrug and toxin extrusion protein	ko02000
V1036833	K02314	DNA replication	replicative DNA helicase	map03030
V1036834	K01928	Peptidoglycan biosynthesis	UDP-N-acetylmuramoyl-L-alanyl-D-glutamate--2,6-diaminopimelate ligase	map00550
V1036835	K07009	Peptidoglycan biosynthesis	lipid II isoglutaminyl synthase (glutamine-hydrolysing)	map00550
V1036836	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036837	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036838	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036839	K00817	Histidine metabolism	histidinol-phosphate aminotransferase	map00340
V1036840	K01529	Purine metabolism	inosine/xanthosine triphosphatase	map00230
V1036841	K03798	Cell cycle	cell division protease FtsH	map04110
V1036842	K07259	Peptidoglycan biosynthesis	serine-type D-Ala-D-Ala carboxypeptidase/endopeptidase (penicillin-binding protein 4)	map00550
V1036843	K02860	Ribosome biogenesis	16S rRNA processing protein RimM	ko03009
V1036844	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1036846	K01462	Enzymes with EC numbers	peptide deformylase	99980
V1036851	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036852	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036853	K00077	Pantothenate and CoA biosynthesis	2-dehydropantoate 2-reductase	map00770
V1036854	K07035	Function unknown	uncharacterized protein	99997
V1036859	K03177	Transfer RNA biogenesis	tRNA pseudouridine55 synthase	ko03016
V1036860	K03457	Transport	nucleobase:cation symporter-1, NCS1 family	99977
V1036861	K00948	Pentose phosphate pathway	ribose-phosphate pyrophosphokinase	map00030
V1036862	K02823	Pyrimidine metabolism	dihydroorotate dehydrogenase electron transfer subunit	map00240
V1036863	K01591	Pyrimidine metabolism	orotidine-5'-phosphate decarboxylase	map00240
V1036864	K01465	Pyrimidine metabolism	dihydroorotase	map00240
V1036867	K00982	Enzymes with EC numbers	[glutamine synthetase] adenylyltransferase / [glutamine synthetase]-adenylyl-L-tyrosine phosphorylase	99980
V1036868	K03553	Homologous recombination	recombination protein RecA	map03440
V1036869	K01733	Glycine, serine and threonine metabolism	threonine synthase	map00260
V1036870	K00147	Arginine and proline metabolism	glutamate-5-semialdehyde dehydrogenase	map00330
V1036871	K00969	Nicotinate and nicotinamide metabolism	nicotinate-nucleotide adenylyltransferase	map00760
V1036872	K00948	Pentose phosphate pathway	ribose-phosphate pyrophosphokinase	map00030
V1036877	K01938	One carbon pool by folate	formate--tetrahydrofolate ligase	map00670
V1036878	K11754	Folate biosynthesis	dihydrofolate synthase / folylpolyglutamate synthase	map00790
V1036882	K01952	Purine metabolism	phosphoribosylformylglycinamidine synthase	map00230
V1036887	K08289	Purine metabolism	phosphoribosylglycinamide formyltransferase 2	map00230
V1036888	K06997	Amino acid metabolism	PLP dependent protein	99985
V1036891	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036892	K05364	Peptidoglycan biosynthesis	penicillin-binding protein A	map00550
V1036894	K07084	Transporters	putative amino acid transporter	ko02000
V1036899	K01883	Aminoacyl-tRNA biosynthesis	cysteinyl-tRNA synthetase	map00970
V1036900	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036904	K03570	Chromosome and associated proteins	rod shape-determining protein MreC	ko03036
V1036907	K02600	Transcription machinery	transcription termination/antitermination protein NusA	ko03021
V1036908	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036913	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036914	K01092	Inositol phosphate metabolism	myo-inositol-1(or 4)-monophosphatase	map00562
V1036915	K01079	Glycine serine and threonine metabolism	phosphoserine phosphatase	map00260
V1036916	K00604	Aminoacyl-tRNA biosynthesis	methionyl-tRNA formyltransferase	map00970
V1036917	K03686	Chaperones and folding catalysts	molecular chaperone DnaJ	ko03110
V1036918	K01950	Nicotinate and nicotinamide metabolism	NAD+ synthase (glutamine-hydrolysing)	map00760
V1036919	K02073	ABC transporters	D-methionine transport system substrate-binding protein	map02010
V1036922	K02038	ABC transporters	phosphate transport system permease protein	map02010
V1036928	K03438	Ribosome biogenesis	16S rRNA (cytosine1402-N4)-methyltransferase	ko03009
V1036931	K02340	DNA replication	DNA polymerase III subunit delta	map03030
V1036932	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036933	K03789	Ribosome biogenesis	[ribosomal protein S18]-alanine N-acetyltransferase	ko03009
V1036934	K01409	Transfer RNA biogenesis	N6-L-threonylcarbamoyladenine synthase	ko03016
V1036935	K07442	Transfer RNA biogenesis	tRNA (adenine57-N1/adenine58-N1)-methyltransferase catalytic subunit	ko03016
V1036936	K08296	Enzymes with EC numbers	phosphohistidine phosphatase	99980
V1036938	K02003	Transporters	putative ABC transport system ATP-binding protein	ko02000
V1036939	K02004	Transporters	putative ABC transport system permease protein	ko02000
V1036940	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036941	K07243	Iron acquisition	high-affinity iron transporter	ko02000
V1036952	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036958	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036959	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1036960	K00558	DNA replication proteins	DNA (cytosine-5)-methyltransferase 1	ko03032
V1036961	K13581	Cell division	modification methylase	ko02048
V1036976	K00527	Purine metabolism	ribonucleoside-triphosphate reductase (thioredoxin)	map00230
V1036977	K04068	Enzymes with EC numbers	anaerobic ribonucleoside-triphosphate reductase activating protein	99980
V1036979	K09811	Chromosome and associated proteins	cell division transport system permease protein	ko03036
V1036980	K01026	Propanoate metabolism	propionate CoA-transferase	map00640
V1036988	K00527	Purine metabolism	ribonucleoside-triphosphate reductase (thioredoxin)	map00230
V1036989	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037001	K01892	Aminoacyl-tRNA biosynthesis	histidyl-tRNA synthetase	map00970
V1037002	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037003	K08884	Protein kinases	serine/threonine protein kinase, bacterial	ko01001
V1037020	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037021	K02895	Ribosome	large subunit ribosomal protein L24	map03010
V1037022	K02874	Ribosome	large subunit ribosomal protein L14	map03010
V1037023	K02961	Ribosome	small subunit ribosomal protein S17	map03010
V1037024	K02982	Ribosome	small subunit ribosomal protein S3	map03010
V1037026	K04759	Transporters	ferrous iron transport protein B	ko02000
V1037027	K01595	Pyruvate metabolism	phosphoenolpyruvate carboxylase	map00620
V1037029	K06901	Transporters	adenine/guanine/hypoxanthine permease	ko02000
V1037030	K01520	Pyrimidine metabolism	dUTP diphosphatase	map00240
V1037043	K01823	Terpenoid backbone biosynthesis	isopentenyl-diphosphate Delta-isomerase	map00900
V1037044	K01597	Terpenoid backbone biosynthesis	diphosphomevalonate decarboxylase	map00900
V1037045	K00869	Terpenoid biosynthesis	mevalonate kinase	map00900
V1037046	K03111	DNA replication	single-strand DNA-binding protein	map03030
V1037047	K03545	Protein processing	trigger factor	99975
V1037048	K02029	Transporters	polar amino acid transport system permease protein	ko02000
V1037064	K00705	Starch and sucrose metabolism	4-alpha-glucanotransferase	map00500
V1037065	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037066	K01271	Peptidases and inhibitors	Xaa-Pro dipeptidase	ko01002
V1037073	K06997	Amino acid metabolism	PLP dependent protein	99985
V1037074	K00937	RNA degradation	polyphosphate kinase	map03018
V1037079	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037081	K10541	ABC transporters	methyl-galactoside transport system permease protein	map02010
V1037082	K01423	Peptidases and inhibitors	beta-barrel assembly-enhancing protease	ko01002
V1037084	K02357	Translation factors	elongation factor Ts	ko03012
V1037088	K01810	Glycolysis / Gluconeogenesis	glucose-6-phosphate isomerase	map00010
V1037095	K00705	Starch and sucrose metabolism	4-alpha-glucanotransferase	map00500
V1037096	K00688	Starch and sucrose metabolism	glycogen phosphorylase	map00500
V1037100	K04069	Enzymes with EC numbers	pyruvate formate lyase activating enzyme	99980
V1037101	K02039	Others	phosphate transport system protein	99994
V1037102	K07768	Two-component system	two-component system, OmpR family, sensor histidine kinase SenX3	map02020
V1037103	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037104	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037107	K03149	Thiamine metabolism	thiazole synthase	map00730
V1037108	K03148	Thiamine metabolism	sulfur carrier protein ThiS adenylyltransferase	map00730
V1037109	K01466	Purine metabolism	allantoinase	map00230
V1037110	K10975	Transporters	allantoin permease	ko02000
V1037111	K02083	Purine metabolism	allantoate deiminase	map00230
V1037112	K01104	Enzymes with EC numbers	protein-tyrosine phosphatase	99980
V1037126	K03294	Transport	basic amino acid/polyamine antiporter, APA family	99977
V1037130	K00626	Pyruvate metabolism	acetyl-CoA C-acetyltransferase	map00620
V1037133	K02746	Phosphotransferase system (PTS)	N-acetylgalactosamine PTS system EIIC component	map02060
V1037134	K02747	Phosphotransferase system (PTS)	N-acetylgalactosamine PTS system EIID component	map02060
V1037137	K03439	Transfer RNA biogenesis	tRNA (guanine-N7-)-methyltransferase	ko03016
V1037138	K09772	Chromosome and associated proteins	cell division inhibitor SepF	ko03036
V1037139	K05540	Transfer RNA biogenesis	tRNA-dihydrouridine synthase B	ko03016
V1037146	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037152	K04047	Chromosome and associated proteins	starvation-inducible DNA-binding protein	ko03036
V1037153	K00939	Purine metabolism	adenylate kinase	map00230
V1037161	K10117	ABC transporters	raffinose/stachyose/melibiose transport system substrate-binding protein	map02010
V1037164	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037187	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037188	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037195	K00549	Cysteine and methionine metabolism	5-methyltetrahydropteroyltriglutamate--homocysteine methyltransferase	map00270
V1037196	K00297	One carbon pool by folate	methylenetetrahydrofolate reductase (NADH)	map00670
V1037199	K07088	NotAssigned	NotAssigned	NotAssigned
V1037209	K08483	Phosphotransferase system (PTS)	phosphoenolpyruvate-protein phosphotransferase (PTS system enzyme I)	map02060
V1037217	K00384	Selenocompound metabolism	thioredoxin reductase (NADPH)	map00450
V1037219	K02796	Phosphotransferase system (PTS)	mannose PTS system EIID component	map02060
V1037221	K03272	Lipopolysaccharide biosynthesis	D-beta-D-heptose 7-phosphate kinase / D-beta-D-heptose 1-phosphate adenosyltransferase	map00540
V1037224	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037230	K02035	Quorum sensing	peptide/nickel transport system substrate-binding protein	map02024
V1037231	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037232	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037235	K02337	DNA replication	DNA polymerase III subunit alpha	map03030
V1037245	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037246	K02073	ABC transporters	D-methionine transport system substrate-binding protein	map02010
V1037256	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037257	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1037258	K03311	Transport	branched-chain amino acid:cation transporter, LIVCS family	99977
V1037259	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1037261	K03311	Transport	branched-chain amino acid:cation transporter, LIVCS family	99977
V1037266	K01626	Phenylalanine, tyrosine and tryptophan biosynthesis	3-deoxy-7-phosphoheptulonate synthase	map00400
V1037267	K01624	Glycolysis / Gluconeogenesis	fructose-bisphosphate aldolase, class II	map00010
V1037268	K01752	Glycine, serine and threonine metabolism	L-serine dehydratase	map00260
V1037273	K00800	Phenylalanine, tyrosine and tryptophan biosynthesis	3-phosphoshikimate 1-carboxyvinyltransferase	map00400
V1037274	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037281	K00054	Terpenoid backbone biosynthesis	hydroxymethylglutaryl-CoA reductase	map00900
V1037282	K01641	Butanoate metabolism	hydroxymethylglutaryl-CoA synthase	map00650
V1037283	K00754	Enzymes with EC numbers	L-malate glycosyltransferase	99980
V1037285	K00812	Alanine aspartate and glutamate metabolism	aspartate aminotransferase	map00250
V1037286	K00931	Arginine and proline metabolism	glutamate 5-kinase	map00330
V1037287	K03979	Ribosome biogenesis	GTPase	ko03009
V1037288	K03431	Amino sugar and nucleotide sugar metabolism	phosphoglucosamine mutase	map00520
V1037299	K07033	Function unknown	uncharacterized protein	99997
V1037300	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037302	K13829	Phenylalanine, tyrosine and tryptophan biosynthesis	shikimate kinase / 3-dehydroquinate synthase	map00400
V1037303	K01736	Phenylalanine, tyrosine and tryptophan biosynthesis	chorismate synthase	map00400
V1037304	K02654	Bacterial motility proteins	leader peptidase (prepilin peptidase) / N-methyltransferase	ko02035
V1037308	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037309	K00941	Thiamine metabolism	hydroxymethylpyrimidine/phosphomethylpyrimidine kinase	map00730
V1037312	K00284	Glyoxylate and dicarboxylate metabolism	glutamate synthase (ferredoxin)	map00630
V1037316	K00925	Citrate cycle (TCA cycle)	acetate kinase	map00620
V1037317	K01041	Lysine degradation	glutaryl-CoA transferase	map00310
V1037320	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037335	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037336	K04072	Pyruvate metabolism	acetaldehyde dehydrogenase / alcohol dehydrogenase	map00620
V1037345	K04072	Pyruvate metabolism	acetaldehyde dehydrogenase / alcohol dehydrogenase	map00620
V1037346	K02996	Ribosome	small subunit ribosomal protein S9	map03010
V1037347	K00926	Purine metabolism	carbamate kinase	map00230
V1037348	K03778	Pyruvate metabolism	D-lactate dehydrogenase	map00620
V1037349	K00873	Glycolysis / Gluconeogenesis	pyruvate kinase	map00010
V1037350	K02071	ABC transporters	D-methionine transport system ATP-binding protein	map02010
V1037355	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037360	K02992	Ribosome	small subunit ribosomal protein S7	map03010
V1037361	K02950	Ribosome	small subunit ribosomal protein S12	map03010
V1037363	K02863	Ribosome	large subunit ribosomal protein L1	map03010
V1037364	K02601	Transcription machinery	transcription termination/antitermination protein NusG	ko03021
V1037365	K03073	Bacterial secretion system	preprotein translocase subunit SecE	map03070
V1037372	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037377	K00532	Unknown	ferredoxin hydrogenase	99980
V1037379	K06147	Transporters	ATP-binding cassette, subfamily B, bacterial	ko02000
V1037380	K02906	Ribosome	large subunit ribosomal protein L3	map03010
V1037381	K02926	Ribosome	large subunit ribosomal protein L4	map03010
V1037382	K02892	Ribosome	large subunit ribosomal protein L23	map03010
V1037383	K02886	Ribosome	large subunit ribosomal protein L2	map03010
V1037390	K01924	Peptidoglycan biosynthesis	UDP-N-acetylmuramate--alanine ligase	map00550
V1037393	K13685	NotAssigned	NotAssigned	NotAssigned
V1037395	K02493	Translation factors	release factor glutamine methyltransferase	ko03012
V1037406	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037410	K05339	Apoptosis	holin-like protein LrgB	map04210
V1037413	K00806	Peptidoglycan biosynthesis	undecaprenyl diphosphate synthase	map00550
V1037414	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037415	K07006	Function unknown	uncharacterized protein	99997
V1037420	K01869	Aminoacyl-tRNA biosynthesis	leucyl-tRNA synthetase	map00970
V1037421	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037422	K02109	Oxidative phosphorylation	F-type H+-transporting ATPase subunit b	map00190
V1037423	K02111	Oxidative phosphorylation	F-type H+/Na+-transporting ATPase subunit alpha	map00190
V1037425	K00951	Purine metabolism	GTP pyrophosphokinase	map00230
V1037426	K06890	Function unknown	uncharacterized protein	99997
V1037433	K01939	Purine metabolism	adenylosuccinate synthase	map00230
V1037436	K06950	Function unknown	uncharacterized protein	99997
V1037440	K07082	Peptidoglycan biosynthesis and degradation proteins	peptidoglycan lytic transglycosylase G	ko01011
V1037443	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037446	K04042	Amino sugar and nucleotide sugar metabolism	bifunctional UDP-N-acetylglucosamine pyrophosphorylase / glucosamine-1-phosphate N-acetyltransferase	map00520
V1037447	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1037452	K03979	Ribosome biogenesis	GTPase	ko03009
V1037453	K01582	Lys metabolism	lysine decarboxylase	map00310
V1037456	K01478	Arginine biosynthesis	arginine deiminase	map00220
V1037457	K00611	Arginine biosynthesis	ornithine carbamoyltransferase	map00220
V1037458	K02355	Translation factors	elongation factor G	ko03012
V1037460	K02881	Ribosome	large subunit ribosomal protein L18	map03010
V1037461	K02933	Ribosome	large subunit ribosomal protein L6	map03010
V1037462	K02895	Ribosome	large subunit ribosomal protein L24	map03010
V1037463	K02874	Ribosome	large subunit ribosomal protein L14	map03010
V1037464	K01834	Glycolysis / Gluconeogenesis	2,3-bisphosphoglycerate-dependent phosphoglycerate mutase	map00010
V1037465	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037466	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037480	K04485	DNA repair and recombination proteins	DNA repair protein RadA/Sms	ko03400
V1037481	K00936	Two-component system	two-component system, sensor histidine kinase PdtaS	map02020
V1037490	K11996	Sulfur relay system	adenylyltransferase and sulfurtransferase	map04122
V1037491	K03293	Transport	amino acid transporter, AAT family	99977
V1037492	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037499	K00540	Enzymes with EC numbers	F420H(2)-dependent quinone reductase	99980
V1037509	K02906	Ribosome	large subunit ribosomal protein L3	map03010
V1037510	K02946	Ribosome	small subunit ribosomal protein S10	map03010
V1037511	K00974	Transfer RNA biogenesis	tRNA nucleotidyltransferase (CCA-adding enzyme)	ko03016
V1037512	NotAssigned	NotAssigned	NotAssigned	NotAssigned
V1037513	K01533	Enzymes with EC numbers	P-type Cu2+ transporter	99980
V1037515	K03431	Amino sugar and nucleotide sugar metabolism	phosphoglucosamine mutase	map00520
V1037518	K02935	Ribosome	large subunit ribosomal protein L7/L12	map03010
V1037523	K00615	Pentose phosphate pathway	transketolase	map00030
V1037524	K02358	Translation	elongation factor Tu	ko03012
